1:00 AM	Harvey Birdman Attorney at Law	Perfect Hair Forever	Perfect Hair Forever	Perfect Hair Forever	Paranoia Agent	Outlaw Star	Samurai Champloo
1:30 AM	12 oz. Mouse	Home Movies	Home Movies	Home Movies	Bleach	?	?
2:00 AM	Frisky Dingo	Home Movies	Home Movies	Home Movies	Wolf's Rain	?	?
2:30 AM	Max Headroom	The Twilight Zone	The Twilight Zone	The Twilight Zone	Witch Hunter Robin	?	?
3:00 AM	The Drinky Crow Show	Max Headroom	Max Headroom	Max Headroom	?	?	?
3:30 AM	Oblangs	Squidbillies	Squidbillies	Squidbillies	?	?	?
4:00 AM	The Twilight Zone	Stroker And Hoop	Stroker And Hoop	Stroker And Hoop	?	?	?
4:30 AM	The Brack Show	Mission Hill	Mission Hill	Mission Hill	?	?	?
5:00 AM	Mission Hill	The Drinky Crow Show	The Drinky Crow Show	The Drinky Crow Show	?	?	?
5:30 PM	Frisky Dingo	Baby Blues	Baby Blues	Baby Blues	?	?	?
