37	2:35 PM - 3:00 PM	Adventure Time	We Bare Bears	Adventure Time	We Bare Bears	Adventure Time	Dragonball Super (Run B)	Dragon Ball GT (Run B)
38	3:00 PM - 3:25 PM	Regular Show	World Of Gumball	Regular Show	World Of Gumball	Regular Show	Dragonball Super (Run B)	Dragon Ball GT (Run B)
39	3:25 PM - 3:50 PM	Community	Scrubs	Community	Scrubs	Community	Dragonball Super (Run B)	Dragon Ball GT (Run B)
40	3:50PM - 4:15 PM	Fresh Prince of Bel-Air	Everybody Hates Chris	Fresh Prince of Bel-Air	Everybody Hates Chris	Fresh Prince of Bel-Air	Inyuasha (Run B)	Sailor Moon (Run B)
41	4:15 PM - 4:40 PM	Malcom in the Middle	Married...with Children	Malcom in the Middle	Married...with Children	Malcom in the Middle	Inyuasha (Run B)	Sailor Moon (Run B)
42	4:40 PM - 5:05 PM	That's 70s Show	Saved By the Bell	That's 70s Show	Saved By the Bell	That's 70s Show	Inyuasha (Run B)	Sailor Moon (Run B)
43	5:05 PM - 5:30 PM	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	Inyuasha (Run B)	Sailor Moon (Run B)
44	5:30 PM - 5:55 PM	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	Psycho Pass (Run B)	Sailor Moon (Run B)
45	5:55 PM - 6:20 PM	American Dad 	King of the Hill 	American Dad 	King of the Hill 	American Dad 	Psycho Pass (Run B)	Black Lagoon (Run B)
46	6:20 PM - 6:45 PM	Bob's Burgers	The Cleveland Show	Bob's Burgers	The Cleveland Show	Bob's Burgers	Psycho Pass (Run B)	Black Lagoon (Run B)
47	6:45 PM - 7:10 PM	Family Guy 	Futurama 	Family Guy 	Futurama 	Family Guy 	Berserk (Run B)	Blue Exorcist (Run B)
48	7:10 PM - 7:35 PM	The Simpsons	Rick and Morty 	The Simpsons	Rick and Morty 	The Simpsons	Berserk (Run B)	Blue Exorcist (Run B)
49	7:35 PM - 8:00 PM	Sailor Moon	Sailor Moon	Sailor Moon	Sailor Moon	Sailor Moon	Gundam Iron-Blooded Orphans (Run B)	Dandadan (Run B)
50	8:00 PM - 8:25 PM	Dragon Ball Super 	Dragon Ball GT	Dragon Ball Super 	Dragon Ball GT	Dragon Ball Super 	Gundam Iron-Blooded Orphans (Run B)	Samurai Champloo (Run B)
51	8:25 PM - 8:50 PM	Dragon Ball Super 	Dragon Ball GT	Dragon Ball Super 	Dragon Ball GT	Dragon Ball Super 	Gundam Iron-Blooded Orphans (Run B)	Samurai Champloo (Run B)
52	8:50PM - 9:15 PM	Psycho Pass	Black Lagoon	Psycho Pass	Black Lagoon	Psycho Pass	Saturday Movie (8:50PM - 10:55PM)	Sunday Movie (8:50PM - 10:55PM)
53	9:15 PM - 9:40 PM	Steins Gate	Blue Exorcist 	Steins Gate	Blue Exorcist 	Steins Gate	National Treasure (2004)	National Treasure: Book of Secrets (2007)
54	9:40 PM - 10:05 PM	Space Dandy	Cowboy Bebop	Space Dandy	Cowboy Bebop	Space Dandy		
55	10:05 PM - 10:30 PM	Gundam Iron-Blooded Orphans	Samurai Champloo	Gundam Iron-Blooded Orphans	Samurai Champloo	Gundam Iron-Blooded Orphans		
56	10:30 PM - 10:55 PM	Attack on Titan	Berserk	Attack on Titan	Berserk	Attack on Titan		
57	10:55 PM - 11:20 PM	Inyuasha	Inyuasha	Inyuasha	Inyuasha	Dandadan	Family Guy	American Dad
58	11:20 PM - 11:45 PM	The Eric Andre Show	Aqua Teen Hunger Force	The Eric Andre Show	Aqua Teen Hunger Force	The Eric Andre Show	Aqua Teen Hunger Force	The Eric Andre Show
59	11:45 PM - 11:59 PM	Your Pretty Face is Going to Hell	Smiling Friends	Your Pretty Face is Going to Hell	Smiling Friends	Your Pretty Face is Going to Hell	Moral Orel	Moral Orel
